Date,State,New_Cases,Deaths,Recovered,Total_Tests,Vaccine_Dose_1,Vaccine_Dose_2,Positivity_Rate(%),Active_Cases,Population_Millions,Cumulative_Cases,Cumulative_Deaths,Cumulative_Recovered,Vaccination_Coverage_Dose1(%),Vaccination_Coverage_Dose2(%),Tests_per_Million,Case_Fatality_Rate(%),Recovery_Rate(%)
2020-01-01,Andhra Pradesh,88,0,87,1583,637,615,5.56,1,53.9,88,0,87,1.18,1.14,0.029369202226345082,0.0,98.86
2020-01-02,Andhra Pradesh,949,12,946,12223,1594,751,7.76,0,53.9,1037,12,1033,2.96,1.39,0.22677179962894248,1.16,99.61
2020-01-03,Andhra Pradesh,77,0,75,1147,4426,2697,6.71,2,53.9,1114,12,1108,8.21,5.0,0.021280148423005567,1.08,99.46
2020-01-04,Andhra Pradesh,1315,11,1313,16676,3435,65,7.89,0,53.9,2429,23,2421,6.37,0.12,0.3093877551020408,0.95,99.67
2020-01-05,Andhra Pradesh,1436,8,1432,18005,1464,727,7.98,0,53.9,3865,31,3853,2.72,1.35,0.33404452690166975,0.8,99.69
2020-01-06,Andhra Pradesh,1017,8,1008,12673,2348,1052,8.02,1,53.9,4882,39,4861,4.36,1.95,0.23512059369202226,0.8,99.57
2020-01-07,Andhra Pradesh,553,7,548,7216,586,137,7.66,0,53.9,5435,46,5409,1.09,0.25,0.13387755102040816,0.85,99.52
2020-01-08,Andhra Pradesh,621,3,613,8361,2352,21,7.43,5,53.9,6056,49,6022,4.36,0.04,0.15512059369202227,0.81,99.44
2020-01-09,Andhra Pradesh,1080,7,1080,13151,2821,2646,8.21,0,53.9,7136,56,7102,5.23,4.91,0.24398886827458255,0.78,99.52
2020-01-10,Andhra Pradesh,155,1,146,1718,783,395,9.02,8,53.9,7291,57,7248,1.45,0.73,0.03187384044526902,0.78,99.41
2020-01-11,Andhra Pradesh,1344,6,1344,16985,892,658,7.91,0,53.9,8635,63,8592,1.65,1.22,0.3151205936920223,0.73,99.5
2020-01-12,Andhra Pradesh,1343,19,1335,16541,4456,34,8.12,0,53.9,9978,82,9927,8.27,0.06,0.30688311688311687,0.82,99.49
2020-01-13,Andhra Pradesh,1283,14,1282,15953,1389,127,8.04,0,53.9,11261,96,11209,2.58,0.24,0.295974025974026,0.85,99.54
2020-01-14,Andhra Pradesh,1106,14,1100,13771,3763,3122,8.03,0,53.9,12367,110,12309,6.98,5.79,0.2554916512059369,0.89,99.53
2020-01-15,Andhra Pradesh,773,7,767,9752,4032,1999,7.93,0,53.9,13140,117,13076,7.48,3.71,0.18092764378478665,0.89,99.51
2020-01-16,Andhra Pradesh,851,7,844,10599,2053,1768,8.03,0,53.9,13991,124,13920,3.81,3.28,0.19664192949907236,0.89,99.49
2020-01-17,Andhra Pradesh,1347,18,1344,16719,4430,3195,8.06,0,53.9,15338,142,15264,8.22,5.93,0.3101855287569573,0.93,99.52
2020-01-18,Andhra Pradesh,1552,13,1549,19544,2165,278,7.94,0,53.9,16890,155,16813,4.02,0.52,0.3625974025974026,0.92,99.54
2020-01-19,Andhra Pradesh,1443,10,1436,18034,4744,1999,8.0,0,53.9,18333,165,18249,8.8,3.71,0.334582560296846,0.9,99.54
2020-01-20,Andhra Pradesh,955,3,952,11634,2391,1182,8.21,0,53.9,19288,168,19201,4.44,2.19,0.21584415584415584,0.87,99.55
2020-01-21,Andhra Pradesh,568,7,561,7084,4407,1097,8.02,0,53.9,19856,175,19762,8.18,2.04,0.13142857142857142,0.88,99.53
2020-01-22,Andhra Pradesh,43,0,42,872,1778,336,4.93,1,53.9,19899,175,19804,3.3,0.62,0.016178107606679034,0.88,99.52
